M;1;0,4;16,68;13,98
M;1;0,5;17,07;14,21
M;2;0,5;18,76;16,18
M;2;0,6;19,19;16,45
M;3;0,5;19,82;17,47
M;3;0,6;20,28;17,75
M;3;0,7;20,74;18,04
M;4;0,5;20,61;18,44
M;4;0,6;21,09;18,74
M;4;0,7;21,57;19,04
M;4;0,8;22,07;19,35
M;5;0,6;21,74;19,54
M;5;0,7;22,24;19,86
M;5;0,8;22,75;20,18
M;5;0,9;23,27;20,51
M;5;1;23,81;20,84
M;6;0,7;22,79;20,55
M;6;0,8;23,32;20,88
M;6;0,9;23,86;21,22
M;6;1;24,41;21,57
M;6;1,1;24,97;21,92
M;7;0,7;23,28;21,15
M;7;0,8;23,81;21,5
M;7;0,9;24,36;21,85
M;7;1;24,93;22,2
M;7;1,1;25,5;22,56
M;7;1,2;26,09;22,93
M;8;0,8;24,25;22,04
M;8;0,9;24,81;22,4
M;8;1;25,38;22,76
M;8;1,1;25,97;23,13
M;8;1,2;26,57;23,51
M;8;1,3;27,18;23,89
M;9;0,8;24,64;22,54
M;9;0,9;25,21;22,9
M;9;1;25,79;23,27
M;9;1,1;26,39;23,65
M;9;1,2;26,99;24,04
M;9;1,3;27,62;24,43
M;9;1,4;28,25;24,82
M;10;0,9;25,57;23,36
M;10;1;26,16;23,74
M;10;1,1;26,77;24,13
M;10;1,2;27,38;24,52
M;10;1,3;28,02;24,92
M;10;1,4;28,66;25,32
M;10;1,5;29,32;25,73
M;11;1;26,51;24,17
M;11;1,1;27,12;24,56
M;11;1,2;27,74;24,96
M;11;1,3;28,38;25,37
M;11;1,4;29,04;25,78
M;11;1,5;29,71;26,2
M;11;1,6;30,39;26,62
M;12;1,1;27,44;24,97
M;12;1,2;28,07;25,37
M;12;1,3;28,72;25,78
M;12;1,4;29,38;26,2
M;12;1,5;30,06;26,63
M;12;1,6;30,75;27,06
M;12;1,7;31,46;27,5
M;13;1,1;27,74;25,35
M;13;1,2;28,38;25,76
M;13;1,3;29,03;26,18
M;13;1,4;29,7;26,6
M;13;1,5;30,39;27,03
M;13;1,6;31,09;27,47
M;13;1,7;31,81;27,92
M;13;1,8;32,54;28,37
M;14;1,2;28,67;26,12
M;14;1,3;29,33;26,54
M;14;1,4;30;26,97
M;14;1,5;30,7;27,41
M;14;1,6;31,4;27,86
M;14;1,7;32,13;28,31
M;14;1,8;32,87;28,77
M;14;1,9;33,63;29,24
M;15;1,3;29,6;26,89
M;15;1,4;30,29;27,33
M;15;1,5;30,99;27,77
M;15;1,6;31,7;28,22
M;15;1,7;32,43;28,68
M;15;1,8;33,18;29,15
M;15;1,9;33,94;29,62
M;15;2;34,73;30,1
M;16;1,4;30,55;27,66
M;16;1,5;31,26;28,11
M;16;1,6;31,98;28,57
M;16;1,7;32,72;29,03
M;16;1,8;33,47;29,5
M;16;1,9;34,24;29,98
M;16;2;35,03;30,47
M;16;2,1;35,84;30,96
M;17;1,5;31,52;28,43
M;17;1,6;32,24;28,89
M;17;1,7;32,99;29,36
M;17;1,8;33,75;29,84
M;17;1,9;34,53;30,32
M;17;2;35,32;30,82
M;17;2,1;36,14;31,32
M;17;2,2;36,97;31,83
M;18;1,5;31,76;28,74
M;18;1,6;32,5;29,21
M;18;1,7;33,24;29,68
M;18;1,8;34,01;30,16
M;18;1,9;34,8;30,65
M;18;2;35,6;31,15
M;18;2,1;36,42;31,66
M;18;2,2;37,26;32,17
M;18;2,3;38,12;32,69
M;19;1,5;32;29,03
M;19;1,6;32,74;29,5
M;19;1,7;33,49;29,98
M;19;1,8;34,26;30,47
M;19;1,9;35,05;30,97
M;19;2;35,86;31,47
M;19;2,1;36,69;31,98
M;19;2,2;37,53;32,5
M;19;2,3;38,4;33,03
M;20;1,5;32,22;29,31
M;20;1,6;32,96;29,79
M;20;1,7;33,72;30,27
M;20;1,8;34,5;30,77
M;20;1,9;35,3;31,27
M;20;2;36,11;31,77
M;20;2,1;36,94;32,29
M;20;2,2;37,8;32,81
M;20;2,3;38,67;33,35
M;21;1,5;32,44;29,58
M;21;1,6;33,18;30,06
M;21;1,7;33,95;30,55
M;21;1,8;34,73;31,05
M;21;1,9;35,53;31,55
M;21;2;36,35;32,07
M;21;2,1;37,19;32,59
M;21;2,2;38,05;33,12
M;21;2,3;38,92;33,66
M;22;1,5;32,64;29,84
M;22;1,6;33,39;30,33
M;22;1,7;34,16;30,82
M;22;1,8;34,95;31,32
M;22;1,9;35,76;31,83
M;22;2;36,58;32,35
M;22;2,1;37,43;32,87
M;22;2,2;38,29;33,41
M;22;2,3;39,17;33,95
M;23;1,5;32,84;30,09
M;23;1,6;33,6;30,58
M;23;1,7;34,37;31,08
M;23;1,8;35,16;31,58
M;23;1,9;35,97;32,1
M;23;2;36,8;32,62
M;23;2,1;37,65;33,15
M;23;2,2;38,52;33,69
M;23;2,3;39,41;34,24
M;24;1,5;33,03;30,34
M;24;1,6;33,79;30,83
M;24;1,7;34,57;31,33
M;24;1,8;35,37;31,84
M;24;1,9;36,18;32,36
M;24;2;37,02;32,88
M;24;2,1;37,87;33,42
M;24;2,2;38,74;33,96
M;24;2,3;39,64;34,51
M;25;1,5;33,21;30,57
M;25;1,6;33,98;31,07
M;25;1,7;34,76;31,57
M;25;1,8;35,57;32,08
M;25;1,9;36,39;32,61
M;25;2;37,22;33,14
M;25;2,1;38,08;33,67
M;25;2,2;38,96;34,22
M;25;2,3;39,86;34,78
M;26;1,5;33,39;30,8
M;26;1,6;34,16;31,3
M;26;1,7;34,95;31,8
M;26;1,8;35,76;32,32
M;26;1,9;36,58;32,85
M;26;2;37,42;33,38
M;26;2,1;38,29;33,92
M;26;2,2;39,17;34,47
M;26;2,3;40,07;35,03
M;27;1,5;33,56;31,02
M;27;1,6;34,34;31,52
M;27;1,7;35,13;32,03
M;27;1,8;35,94;32,55
M;27;1,9;36,77;33,08
M;27;2;37,62;33,62
M;27;2,1;38,48;34,16
M;27;2,2;39,37;34,72
M;27;2,3;40,28;35,28
M;28;1,5;33,73;31,23
M;28;1,6;34,51;31,74
M;28;1,7;35,3;32,25
M;28;1,8;36,12;32,77
M;28;1,9;36,95;33,31
M;28;2;37,8;33,85
M;28;2,1;38,67;34,4
M;28;2,2;39,57;34,96
M;28;2,3;40,48;35,53
M;29;1,5;33,89;31,43
M;29;1,6;34,67;31,95
M;29;1,7;35,47;32,46
M;29;1,8;36,29;32,99
M;29;1,9;37,13;33,53
M;29;2;37,98;34,07
M;29;2,1;38,86;34,63
M;29;2,2;39,75;35,19
M;29;2,3;40,67;35,76
M;30;1,5;34,05;31,64
M;30;1,6;34,83;32,15
M;30;1,7;35,64;32,67
M;30;1,8;36,46;33,2
M;30;1,9;37,3;33,74
M;30;2;38,16;34,29
M;30;2,1;39,04;34,85
M;30;2,2;39,94;35,41
M;30;2,3;40,86;35,99
M;31;1,5;34,2;31,83
M;31;1,6;34,99;32,35
M;31;1,7;35,8;32,87
M;31;1,8;36,62;33,41
M;31;1,9;37,47;33,95
M;31;2;38,33;34,5
M;31;2,1;39,21;35,06
M;31;2,2;40,12;35,63
M;31;2,3;41,04;36,21
M;32;1,5;34,35;32,02
M;32;1,6;35,14;32,54
M;32;1,7;35,95;33,07
M;32;1,8;36,78;33,61
M;32;1,9;37,63;34,15
M;32;2;38,49;34,71
M;32;2,1;39,38;35,27
M;32;2,2;40,29;35,85
M;32;2,3;41,22;36,43
M;32;2,2;40,29;35,85
M;32;2,3;41,22;36,43
M;33;1,5;34,49;32,21
M;33;1,6;35,29;32,73
M;33;1,7;36,1;33,26
M;33;1,8;36,93;33,8
M;33;1,9;37,79;34,35
M;33;2;38,66;34,91
M;33;2,1;39,55;35,48
M;33;2,2;40,46;36,05
M;33;2,3;41,39;36,64
M;34;1,5;34,63;32,39
M;34;1,6;35,43;32,92
M;34;1,7;36,25;33,45
M;34;1,8;37,08;33,99
M;34;1,9;37,94;34,55
M;34;2;38,81;35,11
M;34;2,1;39,71;35,68
M;34;2,2;40,62;36,26
M;34;2,3;41,56;36,85
M;35;1,5;34,77;32,57
M;35;1,6;35,57;33,09
M;35;1,7;36,39;33,63
M;35;1,8;37,23;34,18
M;35;1,9;38,09;34,73
M;35;2;38,97;35,3
M;35;2,1;39,87;35,87
M;35;2,2;40,78;36,46
M;35;2,3;41,73;37,05
M;36;1,5;34,9;32,74
M;36;1,6;35,71;33,27
M;36;1,7;36,53;33,81
M;36;1,8;37,37;34,36
M;36;1,9;38,23;34,92
M;36;2;39,12;35,49
M;36;2,1;40,02;36,06
M;36;2,2;40,94;36,65
M;36;2,3;41,89;37,24
M;37;1,5;35,03;32,91
M;37;1,6;35,84;33,44
M;37;1,7;36,67;33,99
M;37;1,8;37,51;34,54
M;37;1,9;38,38;35,1
M;37;2;39,26;35,67
M;37;2,1;40,17;36,25
M;37;2,2;41,09;36,84
M;37;2,3;42,04;37,44
M;38;1,5;35,16;33,07
M;38;1,6;35,97;33,61
M;38;1,7;36,8;34,16
M;38;1,8;37,65;34,71
M;38;1,9;38,52;35,28
M;38;2;39,41;35,85
